48,4.70
Low Poly FS Car\RaycastController\RL_LateralForce,Low Poly FS Car\RaycastController\FL_LateralForce
0.00,0.00
127.06,-324.01
-23.86,-2.09
0.00,-130.47
-131.42,720.25
-222.96,1632.09
-96.50,1331.55
-68.18,1558.08
-105.71,530.83
406.42,0.00
385.10,-352.56
83.93,-1926.66
261.04,-1640.80
155.70,-1368.97
-425.29,1069.71
-313.31,377.51
-98.33,130.35
-31.47,38.53
-10.00,11.79
160.88,-1554.64
233.25,-1301.37
-44.05,-655.16
-806.82,543.28
-522.78,284.72
-230.85,133.06
-207.30,1081.16
-12.18,-1603.03
197.85,-245.00
91.93,-108.05
50.80,-54.36
24.70,-26.48
11.26,-12.27
4.79,-5.31
1.37,-1.78
-0.43,-0.13
-1.50,0.86
-1.95,1.31
-2.23,1.56
-2.45,1.79
-2.53,1.83
-2.62,1.90
-2.68,1.94
-2.73,1.96
-2.85,2.04
-2.86,2.02
-2.94,2.08
-2.99,2.12
-3.04,2.15
